age,height_cm,overall,potential,value_eur,preferred_foot,weak_foot,skill_moves,work_rate,team_position,attacking_heading_accuracy,skill_dribbling,skill_ball_control,movement_reactions,power_jumping,power_strength,mentality_vision,pace_median
25,187,61,63,275000,1,3,2,High/Medium,RCB,65,56,58,61,58,73,65,67.0
29,184,61,61,210000,0,3,2,Medium/Medium,SUB,56,31,37,61,74,70,35,59.0
23,188,58,66,190000,1,3,2,Medium/Medium,SUB,55,62,49,48,54,76,35,68.0
21,176,60,74,425000,0,2,2,Medium/Medium,SUB,55,57,59,56,66,50,47,63.0
23,181,61,67,300000,1,3,2,Medium/Medium,SUB,41,58,54,51,82,72,57,85.0
35,183,64,64,120000,1,3,1,Medium/Medium,GK,17,16,22,64,65,70,45,68.0
20,179,54,66,110000,1,2,2,Low/High,RES,53,47,50,53,62,48,35,68.0
18,194,52,70,100000,1,3,2,Medium/Medium,RES,52,31,51,39,62,65,35,60.0
23,193,65,71,750000,1,4,3,Medium/Medium,SUB,51,70,66,62,71,76,63,76.0
28,177,74,74,5500000,1,3,4,High/Medium,CAM,68,74,75,72,73,57,76,70.0
25,187,64,69,525000,1,3,2,Medium/Medium,RDM,62,24,38,59,82,82,31,61.0
25,192,53,58,60000,1,2,1,Medium/Medium,SUB,23,19,18,46,40,60,44,68.0
19,166,47,62,60000,1,3,2,Low/Medium,RES,48,44,41,53,59,49,42,67.0
20,188,52,61,70000,1,3,2,Medium/Medium,RES,55,20,26,46,67,73,27,59.0
18,186,64,79,950000,1,3,3,Medium/Medium,RES,65,62,65,62,64,62,46,56.0
30,177,77,77,8500000,1,4,3,High/Medium,SUB,63,79,79,77,76,66,71,82.0
30,172,64,64,350000,1,2,2,Medium/Medium,SUB,60,45,56,62,62,57,34,64.0
22,182,65,72,675000,0,3,2,Medium/High,LB,52,53,58,60,54,66,54,75.0
39,186,74,74,575000,1,2,1,Medium/Medium,GK,12,12,22,73,70,64,60,68.0
30,178,67,67,625000,1,3,3,Medium/Medium,RDM,49,68,65,62,71,60,61,71.0
22,176,69,77,1500000,1,3,3,Medium/Medium,RB,61,70,71,67,58,68,57,75.0
27,178,70,71,2000000,1,3,3,Medium/Medium,RCM,54,68,71,69,71,77,67,74.0
19,178,57,68,160000,1,3,2,Medium/Medium,SUB,56,39,62,58,62,60,46,58.0
20,186,59,70,220000,1,2,1,Medium/Medium,SUB,10,7,15,32,55,58,40,68.0
26,182,63,63,0,0,2,2,Medium/Medium,Missing,48,64,72,55,56,71,47,72.0
22,173,62,68,425000,0,3,2,High/High,RES,46,61,58,58,57,56,61,72.0
30,185,74,74,4600000,1,3,2,Medium/Medium,SUB,77,40,59,71,62,86,35,37.0
32,188,70,70,1100000,0,3,2,Medium/Medium,LCB,72,57,62,70,81,82,60,31.0
35,176,68,68,400000,1,3,3,Medium/Low,CAM,56,70,72,64,61,40,78,62.0
25,179,87,90,63000000,1,4,4,High/High,CAM,58,85,88,86,72,67,90,77.0
22,174,63,70,525000,0,3,3,High/Low,RES,39,64,63,58,40,43,59,80.0
24,171,68,73,1200000,1,3,3,High/High,SUB,61,70,70,70,93,72,67,69.0
29,186,60,61,200000,1,3,2,Low/Medium,SUB,57,61,59,57,57,66,34,73.0
20,181,62,75,525000,0,3,2,Medium/Medium,SUB,53,54,50,62,60,63,45,63.0
29,192,72,72,3100000,1,3,3,Medium/Medium,SUB,72,69,70,71,67,83,66,63.0
22,180,64,70,625000,0,3,2,Medium/Medium,RES,43,66,62,55,49,56,63,73.0
38,187,67,67,275000,1,4,3,High/Low,LS,72,66,71,68,73,75,70,39.0
30,175,63,63,350000,1,3,2,Medium/Medium,SUB,51,62,64,61,59,70,62,63.0
19,178,69,82,1800000,1,3,2,Medium/High,SUB,59,64,67,66,68,69,39,65.0
26,178,63,66,475000,1,3,3,Medium/Low,RES,65,63,69,62,71,58,40,71.0
26,177,60,61,210000,1,2,2,High/Medium,RES,57,55,49,51,62,57,49,67.0
26,182,69,72,1300000,0,2,3,Medium/Medium,LCM,52,76,74,65,40,61,73,73.0
23,179,70,75,2100000,0,2,2,Medium/Medium,LB,58,60,65,62,74,67,61,75.0
21,170,63,74,625000,1,3,3,Medium/Low,SUB,56,60,58,59,58,40,64,75.0
26,163,67,67,825000,0,2,3,High/Low,RES,47,67,70,58,57,56,68,75.0
24,172,76,76,8500000,1,4,3,High/High,CAM,66,75,77,81,70,42,78,72.0
28,174,66,66,650000,1,4,3,High/High,SUB,54,64,65,66,84,67,66,64.0
21,175,54,68,150000,1,3,2,Medium/Medium,SUB,53,46,53,52,77,63,46,60.0
20,190,62,75,600000,1,4,2,Medium/Low,RES,63,53,61,60,60,69,52,68.0
22,180,67,78,1200000,1,2,3,High/Medium,RB,51,56,64,60,55,70,62,82.0
22,173,68,75,1300000,0,4,3,Medium/Medium,RS,49,73,68,66,91,68,58,86.0
26,174,72,73,3700000,1,3,4,High/Medium,ST,64,75,75,64,72,72,60,86.0
23,185,52,59,50000,1,2,1,Medium/Medium,RES,15,5,17,37,60,51,33,68.0
34,180,68,68,400000,0,2,1,Medium/Medium,GK,15,14,22,74,64,73,48,68.0
21,197,53,65,90000,1,3,1,Medium/Medium,RES,10,14,15,46,38,66,24,68.0
20,172,60,71,325000,1,5,2,Medium/Medium,RES,48,46,56,48,71,46,39,68.0
26,176,71,72,2800000,0,3,3,Medium/Medium,RM,52,71,72,64,59,57,72,68.0
18,177,60,81,475000,1,4,2,Medium/Medium,RES,55,62,64,59,50,55,61,62.0
22,182,68,75,1300000,1,3,4,High/Medium,SUB,61,75,69,54,67,67,59,91.0
23,180,64,71,625000,1,4,2,Medium/Medium,SUB,44,67,66,64,50,66,63,66.0
29,183,70,70,1500000,1,2,3,Medium/Medium,RES,61,63,66,62,71,68,45,71.0
26,193,59,63,150000,1,3,1,Medium/Medium,GK,14,17,19,51,40,50,50,68.0
37,180,75,75,2200000,0,2,4,Medium/Medium,CAM,54,81,82,68,48,62,77,61.0
26,190,66,69,825000,0,2,2,Low/Low,ST,57,60,64,66,65,85,63,62.0
19,175,55,71,160000,0,3,2,Medium/Medium,SUB,38,49,44,48,65,56,45,72.0
22,172,57,68,180000,1,2,3,Medium/Medium,RES,36,55,57,43,49,46,52,74.0
18,181,60,76,425000,1,3,3,High/Medium,SUB,44,64,64,57,52,59,58,76.0
20,187,59,71,250000,1,2,2,Medium/High,SUB,63,31,36,49,74,82,26,60.0
24,178,61,66,300000,1,2,2,Medium/Medium,LCB,71,59,55,62,70,67,61,44.0
38,195,83,83,9500000,1,4,5,Medium/Low,ST,80,80,86,82,67,87,84,52.0
30,178,71,71,2000000,1,3,3,Medium/Medium,RDM,53,60,64,71,88,77,67,68.0
21,180,69,78,1500000,1,3,3,High/High,LCB,70,71,66,63,65,68,45,77.0
25,193,71,75,2700000,1,2,2,Medium/Medium,RCB,66,60,63,67,43,84,56,83.0
27,183,76,77,9000000,1,4,3,Medium/Low,RS,76,67,69,73,77,86,55,79.0
37,179,64,64,80000,1,2,2,Medium/Medium,RB,48,62,64,72,63,64,60,64.0
30,191,65,65,375000,1,2,1,Medium/Medium,SUB,14,15,25,67,74,43,46,68.0
27,186,61,63,210000,1,3,1,Medium/Medium,GK,11,19,18,68,64,58,59,68.0
22,198,73,80,4300000,1,2,1,Medium/Medium,SUB,14,10,14,57,32,64,35,68.0
28,176,64,64,375000,1,4,3,High/Medium,SUB,53,64,64,57,81,73,57,78.0
21,183,59,74,325000,1,2,2,Low/Medium,SUB,57,34,42,50,83,60,28,60.0
21,180,59,69,250000,1,3,2,Medium/Medium,SUB,53,70,66,52,57,65,61,55.0
20,174,60,76,450000,1,2,3,Medium/Medium,RES,34,61,63,44,56,49,51,71.0
26,175,63,66,400000,1,4,2,Medium/High,RB,44,52,57,61,56,67,44,71.0
19,180,59,70,240000,1,3,3,Medium/Medium,SUB,45,57,49,54,60,50,37,68.0
23,167,67,74,1100000,0,3,4,Medium/Medium,LW,39,71,70,62,40,44,60,77.0
26,182,65,66,550000,1,3,3,Medium/Medium,SUB,57,60,58,59,59,58,56,73.0
19,178,58,72,250000,1,3,2,Medium/Medium,RES,69,31,35,48,70,53,29,54.0
20,181,54,64,110000,1,2,2,Medium/Medium,SUB,49,53,57,49,56,60,53,63.0
28,189,71,71,2400000,1,3,3,Medium/High,ST,77,65,68,73,71,88,72,59.0
26,176,83,86,31500000,1,4,4,High/High,SUB,42,88,89,82,76,63,84,75.0
29,189,83,83,18500000,1,4,1,Medium/Medium,GK,11,10,24,82,75,73,46,68.0
29,180,72,72,3000000,1,3,2,Medium/Medium,LCM,73,71,73,72,81,64,73,56.0
19,187,73,85,6500000,1,2,4,High/Medium,RES,57,75,74,73,66,71,53,79.0
23,183,67,75,1000000,1,2,2,Medium/Medium,RB,54,63,67,62,73,74,42,73.0
21,183,64,76,750000,1,3,2,Medium/Medium,RCB,67,56,62,59,66,64,37,62.0
20,172,58,70,230000,1,3,2,Medium/Medium,RES,47,61,60,57,63,60,54,66.0
24,183,62,68,375000,0,4,2,Medium/Medium,LCB,59,60,59,60,73,71,52,70.0
21,187,57,71,210000,1,3,2,Medium/Medium,SUB,56,31,43,55,71,69,44,58.0
22,173,67,74,1100000,1,3,3,Medium/Low,LM,56,66,68,64,72,54,57,87.0
25,187,64,68,600000,1,3,3,High/Medium,SUB,64,62,64,58,73,65,56,82.0
21,172,68,79,1500000,1,3,4,High/High,SUB,38,77,71,63,67,36,63,79.0
25,180,65,70,650000,1,3,3,Medium/Medium,LCM,55,55,70,51,78,68,57,70.0
28,175,65,65,550000,1,2,3,Medium/Low,SUB,46,70,63,55,72,61,62,85.0
19,192,57,71,220000,1,3,2,Medium/Medium,SUB,64,49,54,51,67,71,45,63.0
19,173,58,70,210000,1,2,2,High/Medium,SUB,52,57,57,52,63,46,52,59.0
24,189,81,85,21000000,0,3,2,High/High,LCB,78,60,78,77,78,84,60,73.0
25,179,70,71,2100000,1,4,4,Medium/Medium,LM,52,71,66,64,72,70,68,80.0
25,172,65,70,650000,1,3,2,Medium/Medium,SUB,42,57,66,68,59,56,51,71.0
19,175,63,79,800000,1,3,3,High/Medium,SUB,48,64,62,55,57,45,59,84.0
24,181,73,80,5000000,0,2,2,Medium/Medium,LCB,68,53,62,69,72,75,43,74.0
23,187,69,74,1400000,1,3,3,Medium/Medium,SUB,70,71,71,68,65,62,63,82.0
31,175,64,64,375000,1,4,3,High/Medium,RCM,38,64,65,61,68,62,60,74.0
28,183,69,70,1000000,0,3,2,Low/High,SUB,70,46,52,64,60,71,50,65.0
28,185,73,73,3600000,0,3,2,Medium/Medium,SUB,65,62,71,66,52,78,56,60.0
25,184,58,63,150000,1,3,2,Medium/High,SUB,57,39,45,58,73,68,32,66.0
23,165,65,71,750000,1,4,4,Medium/Low,RES,54,74,70,51,76,51,64,83.0
19,179,60,72,350000,1,3,2,Medium/Medium,SUB,60,59,60,56,64,56,54,59.0
24,195,52,57,50000,1,1,1,Medium/Medium,SUB,10,5,18,38,35,59,32,68.0
20,180,60,73,400000,1,3,2,Medium/Medium,SUB,49,60,62,59,55,57,59,68.0
30,177,64,64,375000,0,3,2,Medium/Medium,SUB,65,57,63,58,80,71,55,73.0
19,170,57,71,220000,0,3,2,Medium/Medium,RES,36,58,60,60,70,52,60,60.0
34,187,64,64,240000,1,3,3,Medium/Low,ST,65,64,64,65,63,74,62,63.0
23,183,66,72,800000,1,2,2,Medium/Medium,SUB,50,66,67,68,70,64,62,66.0
21,181,63,71,550000,1,4,2,High/Medium,RES,58,63,66,61,73,72,63,65.0
23,173,67,75,1100000,1,3,3,Medium/Medium,RCM,55,67,69,63,73,68,65,74.0
26,182,71,74,3000000,1,4,3,Medium/Medium,LS,69,70,68,69,88,68,67,83.0
23,173,75,84,10000000,1,4,4,High/Medium,RCM,69,77,80,69,86,59,75,84.0
22,172,65,75,875000,1,3,3,High/Low,SUB,45,72,63,60,59,55,66,73.0
21,185,68,81,1700000,1,3,3,Medium/Medium,RES,70,64,74,67,64,66,45,62.0
20,190,58,67,200000,1,3,2,Medium/Medium,SUB,60,60,61,55,61,70,49,59.0
35,185,65,65,230000,1,2,3,Medium/High,LCB,64,64,65,72,87,74,62,51.0
